"model","price","miles","sale"
"Y",23200,41430,"Auction"
"Y",23100,42524,"Auction"
"Y",23100,42692,"Auction"
"Y",23200,39911,"Auction"
"Y",24500,33199,"Online"
"Y",22600,43090,"Auction"
"Y",24900,33960,"Online"
"Y",23900,38089,"Auction"
"Y",22600,45909,"Auction"
"Y",22700,41355,"Auction"
"Y",24000,36396,"Auction"
"Y",24000,36108,"Auction"
"Y",23800,40743,"Auction"
"Y",24000,35497,"Auction"
"Y",22800,46867,"Auction"
"Y",24200,36563,"Auction"
"Y",24000,34486,"Auction"
"Y",24200,37157,"Auction"
"Y",23200,36729,"Auction"
"Y",22800,47330,"Auction"
"Y",22200,44996,"Auction"
"Y",22250,44102,"Auction"
"Y",22600,47993,"Auction"
"Y",24100,33188,"Auction"
"Y",23500,34669,"Auction"
"Y",22250,42809,"Auction"
"Y",22000,46830,"Auction"
"Y",23000,36946,"Auction"
"Y",22000,45160,"Auction"
"Y",25300,31707,"Online"
"Y",24400,32371,"Auction"
"Y",24400,32262,"Auction"
"Y",24600,33664,"Auction"
"Y",24000,36554,"Online"
"Y",24300,31790,"Auction"
"Y",21800,47163,"Auction"
"Y",24600,32500,"Auction"
"Y",23500,33577,"Auction"
"Y",23100,47936,"Auction"
"Y",23400,33855,"Auction"
"Y",21900,50928,"Auction"
"Y",21750,46651,"Auction"
"Y",21750,50550,"Auction"
"Y",21900,43163,"Auction"
"Y",21500,50750,"Auction"
"Y",24900,31062,"Auction"
"Y",25000,31089,"Auction"
"Y",21500,46920,"Auction"
"Y",21400,51764,"Auction"
"Y",25000,36528,"Online"
"Y",22800,35396,"Auction"
"Y",23800,37694,"Online"
"Y",25000,35082,"Auction"
"Y",23900,38719,"Online"
"Y",23800,46064,"Auction"
"Y",24800,28358,"Auction"
"Y",21300,52497,"Auction"
"Y",22000,40623,"Auction"
"Y",24000,39163,"Online"
"Y",22600,36054,"Auction"
"Y",23900,33247,"Online"
"Y",25000,28236,"Auction"
"Y",24800,38470,"Auction"
"Y",24500,38935,"Online"
"Y",25200,33427,"Auction"
"Y",23900,39226,"Online"
"Y",25300,31797,"Auction"
"Y",25200,27968,"Auction"
"Y",25100,36136,"Auction"
"Y",25400,30976,"Auction"
"Y",21600,55975,"Auction"
"Y",22600,34834,"Auction"
"Y",23200,31358,"Auction"
"Y",25500,34349,"Online"
"Y",25500,31468,"Auction"
"Y",25500,27539,"Auction"
"Y",23200,51254,"Auction"
"Y",25700,32305,"Online"
"Y",24600,42673,"Auction"
"Y",25500,33430,"Auction"
"Y",24800,38894,"Online"
"Y",23800,27915,"Auction"
"Y",22400,35243,"Auction"
"Y",23700,49201,"Auction"
"Y",21000,46865,"Auction"
"Y",24000,47527,"Auction"
"Y",25400,35688,"Auction"
"Y",25200,38277,"Auction"
"Y",25800,29514,"Auction"
"Y",24000,26495,"Auction"
"Y",25800,26488,"Auction"
"Y",20600,55330,"Auction"
"Y",24000,26443,"Auction"
"Y",23800,41064,"Online"
"Y",25300,37839,"Auction"
"Y",25750,24347,"Auction"
"Y",25600,34649,"Auction"
"Y",24600,44154,"Auction"
"Y",25700,33390,"Auction"
"Y",25500,36054,"Auction"
"Y",26000,28140,"Auction"
"Y",21000,44867,"Auction"
"Y",26000,28446,"Auction"
"Y",23400,52289,"Auction"
"Y",22700,31720,"Auction"
"Y",25500,37006,"Auction"
"Y",25000,25903,"Online"
"Y",26000,30802,"Auction"
"Y",26000,23047,"Auction"
"Y",26000,31324,"Auction"
"Y",20600,48188,"Auction"
"Y",26200,28399,"Auction"
"Y",20200,54133,"Auction"
"Y",20800,61340,"Auction"
"Y",24000,29465,"Online"
"Y",26000,26565,"Online"
"Y",21200,41239,"Auction"
"Y",25000,43243,"Auction"
"Y",26300,28832,"Auction"
"Y",20100,59942,"Auction"
"Y",25700,19846,"Auction"
"Y",21000,62363,"Auction"
"Y",22000,60501,"Auction"
"Y",25600,39122,"Auction"
"Y",26500,27503,"Auction"
"Y",25200,42810,"Auction"
"Y",26200,32877,"Auction"
"Y",26600,27047,"Auction"
"Y",24200,21939,"Auction"
"Y",20000,51148,"Auction"
"Y",26600,28304,"Auction"
"Y",23500,24473,"Auction"
"Y",25200,44276,"Auction"
"Y",26500,32565,"Auction"
"Y",25200,45061,"Auction"
"Y",20200,66514,"Auction"
"Y",25500,16295,"Auction"
"Y",24800,24297,"Online"
"Y",21000,66214,"Auction"
"Y",21600,33564,"Auction"
"Y",20800,67134,"Auction"
"Y",26500,34650,"Auction"
"Y",23100,24278,"Auction"
"Y",26000,14256,"Auction"
"Y",22800,38544,"Online"
"Y",26000,22370,"Online"
"Y",20400,68940,"Auction"
"Y",22600,25909,"Auction"
"Y",25000,49010,"Auction"
"Y",19300,69496,"Auction"
"Y",22600,25406,"Auction"
"Y",24800,15087,"Auction"
"Y",18800,70330,"Auction"
"Y",22600,23672,"Auction"
"Y",19000,73520,"Auction"
"Y",19500,74715,"Auction"
"Y",19400,45498,"Auction"
"Y",27000,27832,"Online"
"Y",19650,76813,"Auction"
"Y",18000,76774,"Auction"
"Y",23300,16381,"Auction"
"Y",20400,33955,"Auction"
"Z",33400,13469,"Auction"
"Z",34000,13704,"Auction"
"Z",33000,16839,"Auction"
"Z",32500,17695,"Auction"
"Z",33000,19258,"Auction"
"Z",31500,19418,"Auction"
"Z",32000,19738,"Auction"
"Z",33000,21165,"Auction"
"Z",30200,21383,"Auction"
"Z",34000,21387,"Auction"
"Z",30700,21481,"Auction"
"Z",31400,21483,"Auction"
"Z",29600,22183,"Auction"
"Z",32900,22945,"Auction"
"Z",32800,23384,"Auction"
"Z",33400,24082,"Auction"
"Z",32800,24719,"Auction"
"Z",32500,25378,"Auction"
"Z",32200,25427,"Auction"
"Z",33400,25645,"Auction"
"Z",31400,25908,"Auction"
"Z",35400,25988,"Auction"
"Z",32200,26283,"Auction"
"Z",30200,26674,"Auction"
"Z",31000,26971,"Auction"
"Z",33600,27019,"Auction"
"Z",31000,27142,"Auction"
"Z",30200,27242,"Auction"
"Z",34200,27304,"Auction"
"Z",32500,27873,"Auction"
"Z",32000,27970,"Auction"
"Z",32000,28149,"Auction"
"Z",32600,28151,"Auction"
"Z",31000,28329,"Auction"
"Z",34100,28664,"Auction"
"Z",32000,29180,"Auction"
"Z",32500,29414,"Auction"
"Z",31800,29867,"Auction"
"Z",31200,29903,"Auction"
"Z",31600,29966,"Auction"
"Z",33000,30298,"Auction"
"Z",33500,30330,"Auction"
"Z",29800,30495,"Auction"
"Z",32500,30656,"Auction"
"Z",33200,30814,"Auction"
"Z",31500,30838,"Auction"
"Z",31400,30978,"Auction"
"Z",34000,31244,"Auction"
"Z",33500,31372,"Auction"
"Z",28800,31392,"Auction"
"Z",33000,31573,"Auction"
"Z",31200,32162,"Auction"
"Z",30200,32238,"Auction"
"Z",32750,32414,"Auction"
"Z",31250,32439,"Auction"
"Z",32750,32562,"Auction"
"Z",32500,32586,"Auction"
"Z",30000,32788,"Auction"
"Z",32800,32861,"Auction"
"Z",30000,33219,"Auction"
"Z",31800,33244,"Auction"
"Z",32250,33305,"Auction"
"Z",31500,33459,"Auction"
"Z",31800,33483,"Auction"
"Z",32000,33758,"Auction"
"Z",31500,33912,"Auction"
"Z",32500,33981,"Auction"
"Z",27000,34007,"Auction"
"Z",34400,34024,"Auction"
"Z",30000,34112,"Auction"
"Z",32500,34387,"Auction"
"Z",32500,34389,"Auction"
"Z",32500,34393,"Auction"
"Z",31400,34421,"Auction"
"Z",32700,34685,"Auction"
"Z",32500,34898,"Auction"
"Z",32100,35001,"Auction"
"Z",31750,35127,"Auction"
"Z",30500,35183,"Auction"
"Z",30000,35415,"Auction"
"Z",30200,35530,"Auction"
"Z",28000,35566,"Auction"
"Z",32100,35725,"Auction"
"Z",31000,35858,"Auction"
"Z",31700,35942,"Auction"
"Z",32500,35987,"Auction"
"Z",32000,36002,"Auction"
"Z",30500,36045,"Auction"
"Z",30800,36112,"Auction"
"Z",32000,36135,"Auction"
"Z",33600,36263,"Auction"
"Z",32500,36405,"Auction"
"Z",31400,36609,"Auction"
"Z",30200,36624,"Auction"
"Z",32750,36767,"Auction"
"Z",31500,37237,"Auction"
"Z",33200,37246,"Auction"
"Z",30500,37315,"Auction"
"Z",32750,37423,"Auction"
"Z",33000,37613,"Auction"
"Z",29800,37728,"Auction"
"Z",27400,37783,"Auction"
"Z",27000,38293,"Auction"
"Z",32500,38474,"Auction"
"Z",32500,38487,"Auction"
"Z",29800,38705,"Auction"
"Z",28000,38901,"Auction"
"Z",31700,39148,"Auction"
"Z",31800,39385,"Auction"
"Z",30500,39392,"Auction"
"Z",30000,39654,"Auction"
"Z",29800,39705,"Auction"
"Z",33000,39763,"Auction"
"Z",31400,39858,"Auction"
"Z",27000,39961,"Auction"
"Z",28800,39966,"Auction"
"Z",29800,40089,"Auction"
"Z",32600,40253,"Auction"
"Z",34000,40427,"Auction"
"Z",30400,40593,"Auction"
"Z",30800,40901,"Auction"
"Z",31000,40903,"Auction"
"Z",27600,40980,"Auction"
"Z",30100,41081,"Auction"
"Z",26000,41550,"Auction"
"Z",29600,41810,"Auction"
"Z",31200,41827,"Auction"
"Z",28800,41910,"Auction"
"Z",29500,41912,"Auction"
"Z",30800,41922,"Auction"
"Z",28500,41939,"Auction"
"Z",26900,41954,"Auction"
"Z",28000,41954,"Auction"
"Z",29000,42391,"Auction"
"Z",33400,42590,"Auction"
"Z",28000,42688,"Auction"
"Z",28200,42842,"Auction"
"Z",31500,42864,"Auction"
"Z",29000,43252,"Auction"
"Z",30500,43318,"Auction"
"Z",27000,43328,"Auction"
"Z",29800,43353,"Auction"
"Z",30500,43356,"Auction"
"Z",29600,43377,"Auction"
"Z",32000,43477,"Auction"
"Z",27400,43498,"Auction"
"Z",30500,43532,"Auction"
"Z",31600,43664,"Auction"
"Z",29200,44005,"Auction"
"Z",32100,44132,"Auction"
"Z",29000,44164,"Auction"
"Z",30400,44195,"Auction"
"Z",29000,44309,"Auction"
"Z",30500,44318,"Auction"
"Z",29800,44377,"Auction"
"Z",29400,44533,"Auction"
"Z",29000,44568,"Auction"
"Z",31500,44663,"Auction"
"Z",30400,44764,"Auction"
"Z",29600,45050,"Auction"
"Z",29800,45058,"Auction"
"Z",30000,45286,"Auction"
"Z",29900,45472,"Auction"
"Z",29000,45474,"Auction"
"Z",29500,45848,"Auction"
"Z",31200,46105,"Auction"
"Z",32200,46258,"Auction"
"Z",27400,46425,"Auction"
"Z",28700,46624,"Auction"
"Z",26400,46698,"Auction"
"Z",29000,46901,"Auction"
"Z",26400,46980,"Auction"
"Z",28000,46990,"Auction"
"Z",31000,47224,"Auction"
"Z",27400,47308,"Auction"
"Z",29200,47546,"Auction"
"Z",27400,47757,"Auction"
"Z",29700,48004,"Auction"
"Z",27000,48081,"Auction"
"Z",28500,48135,"Auction"
"Z",29400,48249,"Auction"
"Z",27800,48465,"Auction"
"Z",28400,48465,"Auction"
"Z",28700,48623,"Auction"
"Z",28250,48653,"Auction"
"Z",32000,48743,"Auction"
"Z",28250,48952,"Auction"
"Z",28000,48976,"Auction"
"Z",28000,49598,"Auction"
"Z",25000,49609,"Auction"
"Z",30100,49779,"Auction"
"Z",30200,49831,"Auction"
"Z",29300,49872,"Auction"
"Z",26800,49950,"Auction"
"Z",28000,50526,"Auction"
"Z",26600,51163,"Auction"
"Z",31900,51492,"Auction"
"Z",24000,52075,"Auction"
"Z",29600,52501,"Auction"
"Z",25400,52776,"Auction"
"Z",25000,52908,"Auction"
"Z",25800,52940,"Auction"
"Z",25800,53078,"Auction"
"Z",26600,53078,"Auction"
"Z",26200,53399,"Auction"
"Z",26800,53611,"Auction"
"Z",26200,53854,"Auction"
"Z",25500,53920,"Auction"
"Z",26300,53996,"Auction"
"Z",26700,54191,"Auction"
"Z",29100,54226,"Auction"
"Z",25300,54423,"Auction"
"Z",29000,54962,"Auction"
"Z",28500,55188,"Auction"
"Z",26000,55372,"Auction"
"Z",28800,55653,"Auction"
"Z",27800,55674,"Auction"
"Z",29200,55809,"Auction"
"Z",26500,56204,"Auction"
"Z",27000,56279,"Auction"
"Z",27200,56500,"Auction"
"Z",26900,56550,"Auction"
"Z",27400,56706,"Auction"
"Z",24500,56885,"Auction"
"Z",28100,57351,"Auction"
"Z",27900,57962,"Auction"
"Z",26400,58255,"Auction"
"Z",25500,58301,"Auction"
"Z",26500,58326,"Auction"
"Z",27200,58415,"Auction"
"Z",26000,58745,"Auction"
"Z",25250,59059,"Auction"
"Z",27500,59719,"Auction"
"Z",26200,59883,"Auction"
"Z",29600,60081,"Auction"
"Z",25100,60288,"Auction"
"Z",30000,60961,"Auction"
"Z",27000,61076,"Auction"
"Z",24700,61383,"Auction"
"Z",26400,62289,"Auction"
"Z",27500,62922,"Auction"
"Z",25600,62990,"Auction"
"Z",24400,63179,"Auction"
"Z",26700,63620,"Auction"
"Z",27000,63795,"Auction"
"Z",25800,63957,"Auction"
"Z",27800,64228,"Auction"
"Z",27700,64564,"Auction"
"Z",25500,65636,"Auction"
"Z",25400,66362,"Auction"
"Z",27200,68396,"Auction"
"Z",24400,68402,"Auction"
"Z",25400,68546,"Auction"
"Z",26200,69205,"Auction"
"Z",23600,69286,"Auction"
"Z",26200,69626,"Auction"
"Z",25900,69670,"Auction"
"Z",25800,71054,"Auction"
"Z",25800,73250,"Auction"
"Z",27000,74087,"Auction"
"Z",23400,74535,"Auction"
"Z",24200,76308,"Auction"
"Z",32500,19235,"Online"
"Z",32000,22165,"Online"
"Z",32500,23051,"Online"
"Z",32500,25334,"Online"
"Z",32500,26099,"Online"
"Z",32900,27728,"Online"
"Z",33000,27900,"Online"
"Z",33000,28912,"Online"
"Z",32500,28935,"Online"
"Z",32500,29784,"Online"
"Z",31500,30336,"Online"
"Z",31000,31126,"Online"
"Z",31500,31331,"Online"
"Z",30500,32554,"Online"
"Z",32300,32679,"Online"
"Z",32300,32679,"Online"
"Z",31900,32909,"Online"
"Z",32200,33181,"Online"
"Z",31900,33195,"Online"
"Z",30500,33579,"Online"
"Z",32000,33676,"Online"
"Z",30700,33954,"Online"
"Z",30700,33954,"Online"
"Z",31900,34370,"Online"
"Z",31000,34896,"Online"
"Z",32000,34936,"Online"
"Z",30800,35118,"Online"
"Z",32900,35176,"Online"
"Z",31500,35617,"Online"
"Z",31800,35642,"Online"
"Z",31500,35777,"Online"
"Z",31900,36010,"Online"
"Z",31300,36026,"Online"
"Z",31000,36107,"Online"
"Z",30300,36371,"Online"
"Z",30800,36627,"Online"
"Z",30000,36931,"Online"
"Z",30100,36956,"Online"
"Z",30400,37562,"Online"
"Z",31500,39444,"Online"
"Z",31000,39796,"Online"
"Z",31200,39944,"Online"
"Z",29600,41209,"Online"
"Z",30500,42244,"Online"
"Z",30800,42482,"Online"
"Z",29800,43612,"Online"
"X",21000,11167,"Online"
"X",20200,15324,"Online"
"X",20100,15586,"Auction"
"X",19000,16383,"Online"
"X",20000,16718,"Online"
"X",19500,17106,"Online"
"X",21100,17277,"Auction"
"X",20000,17846,"Online"
"X",19700,17949,"Auction"
"X",19800,18301,"Auction"
"X",20500,18764,"Online"
"X",17900,18927,"Auction"
"X",20000,19383,"Auction"
"X",18700,19432,"Auction"
"X",20800,19450,"Online"
"X",19000,19639,"Online"
"X",20900,19670,"Online"
"X",20300,19672,"Online"
"X",19500,19695,"Online"
"X",20300,19741,"Online"
"X",20500,19913,"Auction"
"X",19500,20319,"Online"
"X",19700,20319,"Online"
"X",20000,20674,"Online"
"X",20800,21126,"Online"
"X",17900,21158,"Auction"
"X",20000,21349,"Online"
"X",19100,21380,"Auction"
"X",19400,21578,"Auction"
"X",19600,21930,"Online"
"X",15700,21937,"Auction"
"X",23000,21973,"Online"
"X",20200,22138,"Online"
"X",19500,22228,"Online"
"X",19600,22370,"Online"
"X",20600,22394,"Auction"
"X",20500,22435,"Online"
"X",18100,22542,"Auction"
"X",19400,22714,"Online"
"X",20000,22852,"Online"
"X",20500,22970,"Online"
"X",19200,23175,"Online"
"X",19700,23395,"Online"
"X",19500,23604,"Online"
"X",19900,23861,"Online"
"X",19600,23978,"Online"
"X",20100,23986,"Auction"
"X",18900,24549,"Auction"
"X",17900,24601,"Auction"
"X",19100,24796,"Auction"
"X",18900,25141,"Auction"
"X",20200,25858,"Auction"
"X",18900,25920,"Online"
"X",19000,25925,"Online"
"X",19900,26038,"Online"
"X",18700,26360,"Auction"
"X",18300,26486,"Auction"
"X",19600,26487,"Auction"
"X",16500,26591,"Auction"
"X",19900,26615,"Online"
"X",19400,26862,"Auction"
"X",19900,26888,"Auction"
"X",19800,27272,"Online"
"X",19000,27523,"Online"
"X",18300,27710,"Auction"
"X",17200,27783,"Auction"
"X",19300,27867,"Auction"
"X",18600,27875,"Online"
"X",20000,27922,"Auction"
"X",20000,27924,"Online"
"X",18700,28254,"Auction"
"X",18400,28351,"Online"
"X",18800,28380,"Auction"
"X",20000,28489,"Auction"
"X",19400,28573,"Auction"
"X",19000,28664,"Online"
"X",19600,28704,"Auction"
"X",19200,28856,"Auction"
"X",19900,28974,"Online"
"X",20800,29262,"Online"
"X",20500,29464,"Auction"
"X",19000,29510,"Auction"
"X",16900,29563,"Auction"
"X",20600,29570,"Auction"
"X",19000,29741,"Auction"
"X",20000,29794,"Online"
"X",19600,29852,"Online"
"X",21100,29901,"Auction"
"X",19400,30151,"Auction"
"X",23500,30272,"Auction"
"X",20500,30386,"Auction"
"X",19900,30444,"Auction"
"X",19400,30549,"Online"
"X",17900,30597,"Auction"
"X",19000,30706,"Auction"
"X",19650,30920,"Auction"
"X",19000,30988,"Auction"
"X",17400,31102,"Auction"
"X",19700,31202,"Online"
"X",21100,31306,"Auction"
"X",16400,31310,"Auction"
"X",18700,31334,"Auction"
"X",19800,31481,"Auction"
"X",19500,31607,"Online"
"X",18000,31660,"Auction"
"X",18000,31726,"Auction"
"X",19600,31802,"Auction"
"X",20800,31846,"Auction"
"X",19700,32082,"Online"
"X",19800,32146,"Online"
"X",19800,32274,"Online"
"X",17600,32298,"Auction"
"X",19000,32377,"Online"
"X",19400,32436,"Online"
"X",17000,32460,"Auction"
"X",19700,32536,"Auction"
"X",17200,32636,"Auction"
"X",17500,32772,"Auction"
"X",20200,32813,"Auction"
"X",18800,32971,"Online"
"X",19200,33071,"Online"
"X",19400,33252,"Auction"
"X",18500,33380,"Auction"
"X",20700,33407,"Auction"
"X",22000,33504,"Online"
"X",19800,33529,"Online"
"X",18600,33663,"Auction"
"X",18800,33723,"Online"
"X",19200,33727,"Auction"
"X",19000,33746,"Online"
"X",18800,33755,"Auction"
"X",20300,33776,"Auction"
"X",19400,33784,"Online"
"X",19500,33821,"Auction"
"X",19200,33906,"Online"
"X",17900,33973,"Auction"
"X",19500,34035,"Online"
"X",19700,34082,"Online"
"X",16700,34131,"Auction"
"X",19200,34147,"Auction"
"X",17900,34186,"Auction"
"X",19900,34275,"Online"
"X",18100,34323,"Auction"
"X",18700,34408,"Auction"
"X",19000,34426,"Online"
"X",19700,34516,"Online"
"X",19500,34681,"Online"
"X",20400,34733,"Online"
"X",19600,34785,"Auction"
"X",17300,34814,"Auction"
"X",16800,34874,"Auction"
"X",16500,34997,"Auction"
"X",19000,35001,"Auction"
"X",20000,35022,"Auction"
"X",19900,35170,"Online"
"X",19100,35187,"Online"
"X",19800,35233,"Auction"
"X",18800,35244,"Online"
"X",18900,35275,"Auction"
"X",19000,35384,"Online"
"X",19900,35399,"Online"
"X",18400,35404,"Auction"
"X",19400,35424,"Auction"
"X",19500,35457,"Auction"
"X",19200,35500,"Online"
"X",17200,35672,"Auction"
"X",19200,35699,"Online"
"X",19800,35749,"Online"
"X",18500,35768,"Online"
"X",18800,35804,"Auction"
"X",19000,35827,"Auction"
"X",20200,35891,"Auction"
"X",18800,35900,"Online"
"X",18700,35916,"Auction"
"X",17700,35931,"Auction"
"X",15750,35943,"Auction"
"X",19500,35964,"Online"
"X",19900,35965,"Auction"
"X",4500,36000,"Auction"
"X",19500,36002,"Auction"
"X",19500,36011,"Online"
"X",19800,36014,"Online"
"X",19900,36064,"Auction"
"X",19200,36092,"Auction"
"X",18100,36125,"Auction"
"X",19000,36186,"Online"
"X",18500,36192,"Auction"
"X",19300,36193,"Auction"
"X",19000,36231,"Auction"
"X",18500,36305,"Auction"
"X",18100,36321,"Auction"
"X",19000,36415,"Auction"
"X",18100,36499,"Auction"
"X",21000,36509,"Online"
"X",19700,36758,"Online"
"X",18900,36794,"Online"
"X",17500,36847,"Auction"
"X",19900,36930,"Online"
"X",19200,36970,"Online"
"X",18600,37036,"Auction"
"X",17700,37137,"Auction"
"X",17000,37146,"Auction"
"X",18500,37185,"Auction"
"X",19000,37235,"Online"
"X",16800,37289,"Auction"
"X",18800,37482,"Auction"
"X",17700,37490,"Auction"
"X",19900,37499,"Online"
"X",19000,37535,"Online"
"X",18400,37630,"Auction"
"X",20000,37651,"Auction"
"X",17200,37691,"Auction"
"X",20000,37886,"Online"
"X",19200,37899,"Auction"
"X",17000,37916,"Auction"
"X",17700,37929,"Auction"
"X",19500,38061,"Auction"
"X",18900,38185,"Auction"
"X",17300,38197,"Auction"
"X",19500,38198,"Auction"
"X",19800,38204,"Online"
"X",20700,38208,"Auction"
"X",18000,38257,"Auction"
"X",19200,38412,"Online"
"X",20900,38463,"Auction"
"X",18000,38475,"Auction"
"X",16700,38506,"Auction"
"X",17500,38537,"Auction"
"X",16400,38601,"Auction"
"X",17100,38858,"Auction"
"X",18300,38939,"Auction"
"X",18000,39022,"Auction"
"X",19400,39023,"Online"
"X",18500,39125,"Auction"
"X",18250,39206,"Auction"
"X",19500,39338,"Online"
"X",18900,39433,"Auction"
"X",19500,39469,"Online"
"X",19300,39555,"Online"
"X",18000,39590,"Auction"
"X",18400,39699,"Auction"
"X",19200,39764,"Online"
"X",19600,39798,"Auction"
"X",20300,39831,"Online"
"X",18250,39913,"Auction"
"X",16900,39954,"Auction"
"X",18200,40012,"Auction"
"X",16300,40366,"Auction"
"X",17000,40456,"Auction"
"X",19000,40595,"Auction"
"X",16200,40616,"Auction"
"X",16300,40670,"Auction"
"X",16600,40681,"Auction"
"X",17000,40697,"Auction"
"X",17800,40706,"Auction"
"X",17700,40803,"Auction"
"X",19000,40987,"Auction"
"X",17400,41071,"Auction"
"X",18300,41292,"Auction"
"X",16500,41298,"Auction"
"X",16800,41528,"Auction"
"X",17800,41584,"Auction"
"X",15700,41847,"Auction"
"X",18200,42005,"Auction"
"X",17700,42205,"Auction"
"X",17100,42305,"Auction"
"X",17700,42310,"Auction"
"X",17950,42310,"Auction"
"X",16000,42753,"Auction"
"X",17100,42791,"Auction"
"X",17400,42817,"Auction"
"X",16000,43123,"Auction"
"X",16200,43157,"Auction"
"X",18300,43283,"Auction"
"X",17300,43600,"Auction"
"X",16600,43609,"Auction"
"X",17500,43916,"Auction"
"X",19400,44062,"Online"
"X",18100,44214,"Auction"
"X",18300,44409,"Auction"
"X",17600,44612,"Auction"
"X",17600,44688,"Auction"
"X",18400,44882,"Auction"
"X",19500,44882,"Online"
"X",14500,44914,"Auction"
"X",17200,44928,"Auction"
"X",17700,44954,"Auction"
"X",19200,44999,"Auction"
"X",18800,45049,"Online"
"X",18100,45067,"Auction"
"X",17900,45512,"Auction"
"X",17500,45608,"Auction"
"X",18000,45658,"Auction"
"X",17100,45817,"Auction"
"X",17000,46272,"Online"
"X",15400,46892,"Auction"
"X",18500,46918,"Auction"
"X",17300,46937,"Auction"
"X",16600,47260,"Auction"
"X",17100,47630,"Auction"
"X",17100,47676,"Auction"
"X",17800,48108,"Online"
"X",18200,48255,"Auction"
"X",17000,48359,"Auction"
"X",18400,48370,"Auction"
"X",18950,49034,"Auction"
"X",19200,49192,"Auction"
"X",17300,49524,"Auction"
"X",17000,49673,"Auction"
"X",17000,50019,"Auction"
"X",13900,50059,"Auction"
"X",15500,50328,"Auction"
"X",17000,50346,"Auction"
"X",18800,50534,"Auction"
"X",16000,50717,"Auction"
"X",16500,50765,"Auction"
"X",16000,50813,"Auction"
"X",16400,51050,"Auction"
"X",17800,51107,"Online"
"X",16300,51313,"Auction"
"X",14000,51506,"Auction"
"X",18500,51936,"Auction"
"X",17800,51991,"Online"
"X",17000,52206,"Auction"
"X",17100,52377,"Auction"
"X",16300,52471,"Auction"
"X",16600,52538,"Auction"
"X",16500,53246,"Auction"
"X",13500,55071,"Auction"
"X",15500,55159,"Auction"
"X",14300,55446,"Auction"
"X",15700,56735,"Auction"
"X",16600,57903,"Auction"
"X",15100,58890,"Auction"
"X",14000,59851,"Auction"
"X",15900,60039,"Auction"
"X",14600,62421,"Auction"
"X",14000,65290,"Auction"
"X",17000,65665,"Auction"
"X",15600,65723,"Auction"
"X",15250,66140,"Auction"
"X",15000,66199,"Auction"
"X",14700,67338,"Auction"
"X",15000,68745,"Auction"
"X",14600,69933,"Auction"
"X",15400,71222,"Auction"
"X",16100,71606,"Auction"
"X",14000,80080,"Auction"
"X",11500,85599,"Auction"