country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United Kingdom (inc IOM and CI),6.9,8.8,9.9,11.3,14.4,17.3,18,19.3,20.2,21,25.8,27.3,29.4,30,28.8
Cyprus,22.8,23.2,22.7,23,22.7,21.6,19.8,19.4,19.5,20,20.1,20.5,20.7,19.7,20.3
Denmark,5.4,6,6.6,7,7.3,7.6,7.5,8.3,8.9,9,10.7,11.5,11.3,11.3,12.2
France,4.6,4.3,4.4,4.5,4.7,4.7,4.8,5.5,5.8,6,6.3,6.3,6.4,5.6,5.3
Germany,7.3,6.4,6.3,6.1,6.1,6,10,11.1,12.1,13,15.2,15.5,15.3,13.7,12.3
Greece,25.2,25,28,28.9,30.9,32.2,31,31.9,33.8,37,38.8,40.7,41.1,41.1,41.5
Italy,7.1,8,9.4,9.4,9.6,10.1,10.8,11.7,12.6,13,15,16.9,18.1,18,17.6
Malta,25.4,27.5,28.2,27.5,26.3,24,22.7,23.9,25.2,31,34.8,38,43.8,45,49.6
Netherlands,4.8,5.5,5.8,5.8,6,6.4,6.4,6.3,6.3,7,7.6,6.1,6.7,6.6,6.9
Spain,1.4,1.4,1.6,1.7,1.9,2.2,2.3,2.4,2.4,2,2.2,2.5,2.6,2.5,2.3
Sweden,2.6,2.9,2.7,3,3.3,3.5,3.6,3.7,3.9,4,3.9,3.5,3.3,2.8,2.7
Antigua & Barbuda,3.1,3.8,4.3,4.8,5.5,6.2,6.9,7.4,8.1,9,10,10.7,11.1,10.6,10
Bahamas,27.2,30.3,31.5,33,33.8,33.5,35.3,37.9,40.7,44,45.2,46.9,48.1,48.3,48.5
Bermuda,4.7,5.9,5.5,5.2,4.9,5,6.4,7.9,8.3,9,9.4,10,10.6,10.9,10.5
Brazil,3.9,3.8,3.7,3.5,3.2,3,2.3,2.1,2,2,2,2,1.9,1.9,2
Cambodia,0.8,1.3,1.6,2.1,2.3,1.8,1.8,1.8,2,2,1.8,1.7,1.3,1.3,1.2
Canada,2.1,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2,2.4,2.4,2.5,2.4,2.3
Cayman Islands,1.1,1.3,2.1,2.1,2.5,2.6,2.5,2.8,3,3,2.7,2.9,3.2,3.2,3.1
China,15.4,15.3,15.6,15.6,17,18.4,20.1,21.7,22.7,24,28.2,32.7,35.6,38.8,41.1
Hong Kong,6.3,8.9,11.8,14.2,18.4,23.5,28.6,30.3,34.6,38,44.9,55.3,67.8,78.5,85.4
India,6.5,6.4,6.2,6.1,6,6.7,7.3,7.9,8.4,8,8.3,8.3,8.9,8.5,8.2
Indonesia,2.7,2.8,2.9,3.1,3.1,3.3,3.5,3.9,4.6,5,6.9,8.2,9.1,10.1,11.1
Iran,3.2,3.6,4.1,3.8,4.6,5.1,5.1,5.1,4.8,1,0.9,0.8,0.5,2.1,3.1
Japan,16.3,14.9,13.3,12.9,12.4,12.1,11.8,11.6,11.5,12,13.8,15.6,16.7,17.8,19.2
"Korea, South",5,5.4,5.5,5.8,6.2,6.4,7.9,8.8,10.5,13,12,12.4,11.6,11.1,11.2
Kuwait,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.4,72,80,2.3,1.9,2.4,2.4,2.2
Liberia,60.2,50.6,51.9,50.9,49.7,53.1,56,63.8,72,80,90.8,103.7,116.7,123.8,124.1
Malaysia,5.2,5.1,5.1,5.1,5.4,5.7,5.5,5.7,6.4,7,6.9,7.2,7.1,6.2,5.7
Marshall Islands,6.5,7.3,10.4,12.5,16.6,19.9,26.3,30.8,33.8,37,47.5,59,71.1,81.1,90
Norway,21.9,21.4,21.5,21.5,20.9,18.7,17,16.8,16.7,17,15.2,14.5,14.3,14.4,14.5
Panama,100.7,107.8,116.6,123.5,125.2,125.8,134.8,146.1,160.3,174,188.6,197.9,208.4,215.8,217.2
Philipines,8,7,6.3,5.7,5.2,5,4.8,5,4.8,5,5,5.1,5,4.3,4.3
Russia,6.5,5.9,5.8,5.7,6.4,6.1,5.5,5.5,5.1,5,4.7,4.9,4.9,5.1,5.2
St Vincent & the Grenadines,7.6,6.7,6.9,6.7,6.1,6,5.6,5.4,5.6,5,4.7,4.2,3.7,2.8,2.4
Singapore,20.7,21.7,20.4,20.7,21.6,23.8,28.3,31.2,33,37,39.8,43.4,51.2,59.2,67.7
Taiwan,5.3,5.1,4.8,4.5,3.6,3.6,3.3,2.9,2.6,3,2.5,2.6,2.7,3,3.1
Thailand,1.9,1.9,1.9,1.7,1.9,2.6,2.9,3,2.8,3,2.5,2.6,2.2,2.6,2.9
Turkey,6.4,6,5.5,5.9,5.5,4.8,4.9,5,4.9,5,5.4,5.8,6.2,6.4,5.9
United States of America,12.5,12.5,11.5,11.2,10.6,10.5,10.6,10.7,10.4,11,10.7,10.8,10.2,9.9,9.7